id Объекта;Объект;Адрес;id Ведомственной Организации;Ведомственная Организация;Доступность;Доступность;Широта (Latitude);Долгота (Longitude)
100446;Автодром «Русская школа картинга «Пилот»»;проезд Шокальского, дом 52;NULL;NULL;2;Окружное;55.883141;37.669684
100448;Парк культуры и отдыха «Фили»;Большая Филёвская улица, дом 22, строение 2;237332;Департамент культуры города Москвы;2;Окружное;55.7482954863979;37.48382881385171
100449;Дорожка велосипедная (сквер по Рижскому проезду);Рижский проезд, дом 7;237366;Управа Алексеевского района города Москвы;3;Районное;55.814824131726844;37.66169193023219
100453;Пойма реки Яуза вдоль улицы Северодвинская;Северодвинская улица, дом 21;237341;Префектура Северо-Восточного административного округа города Москвы;2;Окружное;55.89065376155369;37.682212561226564
100458;Парк, озелененная городская территория «Парк культуры и отдыха «Кузьминки»;Кузьминский парк, дом 1, строение 2;237332;Департамент культуры города Москвы;2;Окружное;55.6939419662619;37.76603348819935
100461;Государственное автономное учреждение культуры города Москвы «МПК «Северное Тушино» парк «Дружба»;Флотская улица, дом 1, строение 2;237332;Департамент культуры города Москвы;2;Окружное;55.85186203452645;37.47915253584279
100467;Парк по Борисовским прудам;улица Маршала Захарова, дом 10, корпус 2;237332;Департамент культуры города Москвы;2;Окружное;55.62589704545755;37.699708807328754
100469;Спортивный комплекс высшего учебного заведения «РАНХиГС»;улица Садовники, дом 4, корпус 2;266981;Минобрнауки России;2;Окружное;55.675609515769516;37.65123652629977
100471;Физкультурно-оздоровительный комплекс «Светлана»;Таёжная улица, дом 1;NULL;NULL;3;Районное;55.880894;37.700559
100472;Природно-исторический парк «Кузьминки-Люблино»;Тополёвая аллея, дом 16;237335;Департамент природопользования и охраны окружающей среды города Москвы;2;Окружное;55.689674;37.801907
100473;Парк «Сад культуры и отдыха имени Н.Э. Баумана»;Старая Басманная улица, дом 15А, строение 4;237332;Департамент культуры города Москвы;2;Окружное;55.765853;37.660404
100474;Досуговый центр «Дизайн-завод «Флакон»;Большая Новодмитровская улица, дом 36, строение 6;NULL;NULL;3;Районное;55.805862;37.585422
100481;Стадион «Энергия» Спортивный комбинат Московского энергетического института (МЭИ);2-й Краснокурсантский проезд, дом 12, строение 7;266981;Минобрнауки России;2;Окружное;55.762987730441424;37.701613400728604
100482;Стадион «Москвич»;Волгоградский проспект, дом 46/15, строение 1;219165;Москомспорт.;1;Городское;55.70793899262102;37.73558056764985
100484;Фитнес клуб «Энигма»;Живописная улица, дом 21, корпус 2, строение 1;NULL;NULL;3;Районное;55.79009173122431;37.45300410387013
100485;Стадион Московского государственного института международных отношений;проспект Вернадского, владение 76Б, строение 1;266981;Минобрнауки России;2;Окружное;55.67406249241708;37.48307626320783
100488;Стадион «Российский университет дружбы народов»;улица Миклухо-Маклая, дом 6;266981;Минобрнауки России;1;Городское;55.65243146018574;37.494458968547804
100489;Спортивный комплекс «Центральный»;Товарищеский переулок, дом 25, строение 1;219165;Москомспорт.;3;Районное;55.744019;37.66618
100490;Дворовая территория;Ивантеевская улица, дом 10, строение 1;237383;Управа района Богородское города Москвы;4;Шаговая доступность;55.81868186119672;37.71985431409082
100491;дворовая территория;Малая Черкизовская улица, дом 64, строение 3;237383;Управа района Богородское города Москвы;4;Шаговая доступность;55.806606;37.714815
100492;Дворовая территория;Большая Переяславская улица, дом 6, корпус 1;237425;Управа Мещанского района города Москвы;4;Шаговая доступность;55.781246;37.643893
